nombre,edad,ciudad,departamento,salario,fecha_ingreso,activo
pedro,46,cusco,recursos_humanos,5041,2019-06-11,si
fernanda,27,lima,soporte,3703,2018-02-14,no
diego,52,ica,soporte,2220,2018-07-13,si
patricia,54,tacna,logistica,1296,2020-05-25,no
patricia,44,chiclayo,legal,4813,2022-04-09,no
luis,19,tacna,operaciones,7824,2017-08-05,si
natalia,43,huancayo,atencion_cliente,1644,2016-11-14,si
patricia,47,arequipa,ventas,5462,2021-06-07,no
diego,39,moquegua,soporte,5758,2021-05-27,si
luis,19,puno,legal,2053,2020-04-21,si
victor,59,piura,ventas,5251,2018-01-20,si
jose,26,ica,marketing,4771,2022-12-09,no
javier,56,huancayo,marketing,3883,2019-02-19,si
natalia,37,huancayo,soporte,7698,2018-02-19,si
juan,62,moquegua,recursos_humanos,3183,2024-01-12,no
rosa,41,cusco,legal,6790,2015-07-27,no
juan,45,tumbes,logistica,3706,2021-03-24,no
ricardo,52,moquegua,logistica,8816,2021-12-19,no
diego,33,ayacucho,marketing,5769,2022-04-25,no
valeria,57,cajamarca,soporte,6711,2015-08-28,no
javier,49,lima,operaciones,5432,2020-05-20,no
daniela,18,chiclayo,tecnologia,2602,2018-12-14,no
daniela,33,puno,logistica,9241,2022-01-03,no
jose,43,puno,tecnologia,6216,2025-10-12,no
daniela,51,tumbes,soporte,6619,2020-12-15,no
sofia,34,lima,marketing,4355,2020-02-24,si
carlos,31,puno,logistica,5730,2024-09-20,no
juan,30,trujillo,tecnologia,7112,2017-05-01,si
pedro,20,piura,legal,5986,2017-11-28,no
juan,18,huancayo,recursos_humanos,8890,2022-08-11,si
lucia,34,ayacucho,logistica,3069,2016-07-16,si
valeria,58,cajamarca,ventas,3685,2017-10-10,si
jose,25,chiclayo,soporte,4897,2023-07-15,no
sofia,55,tacna,recursos_humanos,2186,2024-12-04,si
gabriela,31,trujillo,marketing,3773,2018-03-18,si
javier,18,tacna,logistica,8899,2019-01-08,no
alberto,36,puno,logistica,2366,2025-04-09,si
maria,25,chiclayo,tecnologia,3641,2019-03-03,si
javier,37,huancayo,atencion_cliente,5928,2022-02-15,no
alberto,43,trujillo,legal,9290,2022-02-20,si
hugo,45,puno,operaciones,5302,2015-02-08,si
victor,61,ayacucho,recursos_humanos,1859,2017-08-17,no
natalia,35,arequipa,atencion_cliente,8341,2025-08-03,no
monica,44,tumbes,operaciones,2913,2017-06-14,no
sofia,60,tacna,legal,1801,2022-02-11,no
diego,25,moquegua,soporte,1218,2025-09-15,no
lucia,30,chiclayo,operaciones,9367,2025-08-25,si
carlos,35,chiclayo,finanzas,5919,2022-12-16,si
ana,58,huancayo,tecnologia,3794,2019-09-01,no
andres,32,ayacucho,marketing,8760,2016-11-27,si
luis,63,trujillo,legal,5679,2021-08-16,si
miguel,53,arequipa,soporte,4322,2024-09-24,si
patricia,22,trujillo,soporte,6768,2023-05-27,si
sofia,64,trujillo,atencion_cliente,9222,2017-08-18,no
monica,39,chiclayo,legal,7380,2022-06-28,si
alberto,33,huancayo,soporte,5026,2021-01-11,no
alberto,42,tacna,finanzas,9315,2015-03-17,no
patricia,24,ayacucho,logistica,2833,2023-08-01,si
maria,59,arequipa,marketing,8892,2019-06-20,no
gabriela,23,ayacucho,operaciones,7426,2020-11-23,no
patricia,52,piura,atencion_cliente,2321,2018-11-22,no
jose,65,cusco,soporte,2812,2025-12-28,si
miguel,28,puno,recursos_humanos,1674,2015-06-26,si
sofia,40,tumbes,soporte,3585,2018-09-14,si
javier,29,cusco,atencion_cliente,7467,2024-11-08,no
natalia,55,arequipa,tecnologia,8755,2025-05-15,no
rosa,18,moquegua,logistica,5912,2025-09-06,si
miguel,40,huancayo,recursos_humanos,8151,2019-08-28,no
carlos,42,ayacucho,logistica,2947,2018-07-19,no
valeria,36,puno,recursos_humanos,1559,2025-07-09,si
valeria,61,moquegua,ventas,9338,2019-04-20,no
jose,58,lima,atencion_cliente,5306,2025-12-25,si
gabriela,24,cajamarca,ventas,6261,2022-01-19,no
claudia,26,cusco,recursos_humanos,6552,2021-03-07,si
elena,52,tumbes,legal,9421,2019-03-09,no
elena,36,puno,operaciones,3086,2022-02-05,si
patricia,61,puno,soporte,7192,2016-07-01,no
daniela,25,ica,operaciones,5495,2024-07-27,no
juan,61,lima,logistica,1610,2024-09-11,si
gabriela,22,cajamarca,logistica,6151,2025-07-04,si
lucia,20,trujillo,logistica,3102,2016-04-18,si
carla,47,tumbes,legal,8066,2024-12-24,si
hugo,44,cajamarca,marketing,9217,2024-07-09,si
alberto,41,lima,logistica,8485,2018-06-04,no
daniela,59,tumbes,ventas,7723,2019-04-04,no
andres,60,lima,atencion_cliente,1549,2015-06-08,si
elena,54,lima,marketing,4594,2024-04-27,si
diego,27,moquegua,atencion_cliente,1246,2019-03-05,no
elena,29,cusco,ventas,3359,2015-06-26,si
valeria,38,piura,finanzas,5547,2015-03-24,no
paola,25,puno,marketing,9002,2022-06-17,si
miguel,50,lima,atencion_cliente,1910,2025-09-10,no
gabriela,19,piura,logistica,7780,2021-11-04,no
alberto,46,cusco,marketing,6477,2024-03-03,si
pedro,57,cajamarca,atencion_cliente,6527,2021-10-17,no
miguel,50,huancayo,soporte,2824,2016-11-21,si
maria,46,lima,soporte,6753,2022-07-14,si
diego,45,tumbes,recursos_humanos,7332,2017-11-16,si
andres,23,cusco,soporte,2782,2020-03-18,si
valeria,53,chiclayo,operaciones,3202,2021-06-28,no
patricia,64,piura,recursos_humanos,6319,2020-02-19,si
fernanda,60,ica,tecnologia,2973,2020-09-12,si
victor,35,huancayo,tecnologia,8230,2023-10-20,si
ricardo,60,ayacucho,recursos_humanos,1674,2017-05-23,no
natalia,39,tumbes,ventas,4172,2017-10-22,no
andres,27,puno,ventas,2703,2023-04-13,no
miguel,39,arequipa,operaciones,6305,2020-10-20,si
hugo,21,arequipa,finanzas,2015,2025-02-09,no
rosa,45,ica,atencion_cliente,8442,2021-05-07,si
monica,45,cusco,recursos_humanos,9172,2023-11-10,si
jose,43,huancayo,ventas,1325,2018-05-07,si
victor,34,trujillo,operaciones,3165,2015-08-24,no
javier,26,tacna,legal,4970,2023-09-27,no
andres,43,ayacucho,ventas,8347,2015-08-03,no
valeria,45,huancayo,soporte,8043,2019-02-13,si
diego,28,moquegua,atencion_cliente,8738,2020-02-14,si
jose,45,huancayo,soporte,2488,2021-05-24,no
jose,39,moquegua,finanzas,2451,2023-11-04,si
hugo,40,tumbes,finanzas,5071,2016-03-09,si
javier,56,arequipa,marketing,4102,2025-08-15,no
rosa,54,cajamarca,atencion_cliente,6495,2025-06-05,no
andres,48,ica,recursos_humanos,5700,2024-01-12,si
sofia,47,ica,ventas,2132,2020-05-03,si
ricardo,56,chiclayo,soporte,8781,2024-09-26,si
miguel,54,cajamarca,tecnologia,6467,2024-08-17,si
lucia,46,cusco,operaciones,2581,2023-11-06,si
jose,63,ica,logistica,3800,2020-06-10,no
maria,39,cajamarca,atencion_cliente,2057,2025-11-11,si
diego,24,chiclayo,soporte,5855,2019-12-28,si
diego,23,huancayo,finanzas,6931,2019-11-23,no
fernanda,56,puno,marketing,6272,2023-07-21,no
raul,26,cajamarca,legal,2731,2025-11-14,no
ana,41,trujillo,finanzas,4709,2020-08-07,si
fernanda,27,cusco,recursos_humanos,2857,2023-09-27,si
rosa,39,moquegua,atencion_cliente,3347,2024-07-05,si
javier,62,moquegua,atencion_cliente,3912,2022-01-14,no
rosa,64,lima,logistica,5868,2022-04-18,si
sofia,48,ayacucho,tecnologia,7226,2025-10-15,no
victor,36,moquegua,soporte,9439,2023-07-06,si
elena,56,arequipa,recursos_humanos,2054,2025-08-28,no
daniela,24,puno,legal,3242,2019-02-25,si
pedro,46,chiclayo,finanzas,8367,2016-04-27,no
hugo,40,piura,soporte,2072,2021-09-12,si
carla,23,tumbes,tecnologia,1661,2020-02-27,no
elena,27,arequipa,ventas,5900,2022-12-27,si
victor,63,ica,logistica,1286,2016-01-09,si
raul,27,chiclayo,atencion_cliente,8134,2016-05-08,no
juan,21,lima,soporte,8689,2016-02-27,no
ricardo,52,piura,legal,5163,2017-05-14,si
ricardo,40,lima,atencion_cliente,8025,2017-11-22,si
paola,41,cusco,legal,1533,2021-08-02,no
monica,34,puno,ventas,7050,2016-06-08,si
victor,55,puno,operaciones,3385,2015-06-18,no
raul,59,arequipa,logistica,9040,2025-03-26,si
andres,63,moquegua,logistica,1805,2019-04-02,si
hugo,20,tumbes,recursos_humanos,7724,2023-08-09,si
victor,59,lima,recursos_humanos,7048,2015-11-11,no
juan,41,tacna,soporte,8404,2021-06-06,no
alberto,49,tumbes,legal,5569,2016-12-14,si
maria,56,ayacucho,finanzas,6013,2020-02-03,no
rosa,36,trujillo,logistica,8181,2017-12-15,no
miguel,20,puno,operaciones,8326,2019-11-26,si
andres,60,cajamarca,soporte,7152,2023-12-22,si
ana,27,ayacucho,atencion_cliente,8379,2015-03-03,si
victor,59,tumbes,operaciones,7472,2024-01-20,si
rosa,46,tumbes,operaciones,8473,2016-10-05,no
carla,38,cajamarca,recursos_humanos,5289,2016-01-24,si
luis,51,tacna,legal,3129,2019-05-23,no
carlos,57,trujillo,logistica,4479,2016-03-28,si
miguel,29,puno,logistica,2638,2025-06-22,no
alberto,22,chiclayo,legal,5957,2019-03-23,si
elena,41,chiclayo,tecnologia,3188,2018-03-08,no
ana,41,chiclayo,atencion_cliente,7244,2022-09-05,si
andres,37,tacna,logistica,7930,2021-10-03,si
diego,59,cusco,logistica,8832,2025-09-12,si
hugo,53,cajamarca,atencion_cliente,4181,2017-07-17,si
raul,25,chiclayo,finanzas,6182,2017-03-11,si
monica,51,trujillo,marketing,5305,2018-11-18,no
fernanda,58,trujillo,atencion_cliente,2730,2023-11-06,si
javier,60,huancayo,atencion_cliente,6731,2024-01-27,si
andres,20,cajamarca,atencion_cliente,5536,2025-04-25,no
ricardo,58,piura,logistica,5945,2025-05-16,si
elena,61,tacna,recursos_humanos,8630,2016-12-02,si
miguel,44,ica,logistica,4542,2020-10-05,no
patricia,63,tumbes,operaciones,7732,2017-06-17,si
diego,33,ica,marketing,5582,2022-04-05,si
lucia,36,tacna,atencion_cliente,8050,2018-03-27,no
natalia,54,puno,operaciones,4310,2017-08-17,no
luis,37,ica,ventas,2675,2021-09-15,si
carlos,55,tumbes,ventas,2028,2019-08-20,no
sofia,52,piura,marketing,8260,2017-05-24,no
victor,43,tumbes,ventas,7763,2015-10-18,si
monica,53,trujillo,marketing,7529,2023-08-25,no
raul,57,cajamarca,atencion_cliente,3146,2017-02-13,no
elena,39,chiclayo,operaciones,3563,2018-10-17,no
paola,20,piura,ventas,3445,2020-08-17,no
fernanda,56,chiclayo,finanzas,6573,2024-06-06,no
ricardo,65,ayacucho,recursos_humanos,6711,2023-09-18,no
alberto,54,trujillo,logistica,1472,2020-06-22,si
maria,55,trujillo,ventas,8975,2019-11-26,si
claudia,21,huancayo,logistica,3993,2023-11-24,no
fernanda,61,lima,ventas,3000,2018-01-15,no
maria,27,tacna,tecnologia,7923,2023-10-16,si
alberto,26,chiclayo,tecnologia,6525,2025-08-17,no
diego,29,ica,legal,6808,2023-06-22,no
ricardo,48,lima,tecnologia,5771,2023-05-08,no
victor,36,puno,tecnologia,9211,2020-08-12,no
sofia,25,huancayo,legal,7420,2021-06-25,si
sofia,20,trujillo,marketing,6874,2022-11-09,no
carlos,30,ayacucho,legal,5642,2023-12-09,si
juan,57,puno,atencion_cliente,5120,2018-01-22,si
gabriela,32,piura,marketing,7971,2020-12-16,si
rosa,26,piura,legal,3787,2021-11-16,no
gabriela,30,moquegua,recursos_humanos,6462,2019-11-02,si
gabriela,54,lima,legal,1811,2017-07-27,si
natalia,20,ayacucho,soporte,9316,2017-12-28,no
hugo,20,piura,recursos_humanos,2958,2020-05-15,no
hugo,26,ayacucho,legal,8868,2019-04-26,si
diego,28,puno,logistica,5415,2017-01-24,no
elena,36,huancayo,tecnologia,4075,2024-11-13,no
paola,38,cusco,soporte,2762,2017-03-16,no
natalia,33,piura,recursos_humanos,7484,2018-08-25,no
diego,37,huancayo,atencion_cliente,1387,2019-11-12,si
lucia,60,cusco,logistica,6226,2017-07-22,no
alberto,25,cajamarca,recursos_humanos,7221,2024-04-08,si
luis,27,ica,atencion_cliente,7321,2021-12-18,no
victor,52,moquegua,tecnologia,5254,2025-10-28,si
paola,46,chiclayo,operaciones,2479,2024-02-02,si
valeria,52,arequipa,finanzas,6575,2023-08-04,si
alberto,55,ica,marketing,8498,2015-08-05,no
miguel,54,piura,legal,8775,2025-05-24,si
carla,34,ayacucho,ventas,4770,2024-02-02,no
monica,62,cusco,legal,2187,2016-08-02,no
maria,29,moquegua,finanzas,8087,2020-07-15,no
carla,23,cajamarca,legal,3378,2025-06-04,si
daniela,43,chiclayo,finanzas,4848,2015-01-10,no
rosa,64,chiclayo,soporte,7414,2018-04-15,no
fernanda,35,lima,marketing,1727,2025-07-20,si
jose,31,cusco,marketing,1750,2022-10-22,si
jose,65,piura,soporte,8391,2018-09-07,si
fernanda,50,trujillo,tecnologia,6424,2024-10-25,no
jose,37,arequipa,legal,4821,2021-05-09,si
daniela,55,puno,finanzas,8199,2023-08-02,no
gabriela,60,tacna,legal,6422,2021-07-05,no
carla,29,moquegua,legal,8958,2018-04-10,si
elena,47,piura,legal,7961,2021-09-17,si
carla,33,trujillo,tecnologia,6611,2025-02-15,no
andres,52,puno,tecnologia,2044,2019-07-22,si
patricia,22,lima,atencion_cliente,4755,2022-04-28,no
sofia,18,lima,tecnologia,3122,2022-04-23,si
carla,33,chiclayo,operaciones,5837,2021-08-18,no
sofia,34,tumbes,legal,9347,2022-02-26,no
victor,38,lima,operaciones,6326,2021-01-19,si
claudia,27,piura,recursos_humanos,8041,2019-03-07,no
jose,42,huancayo,tecnologia,9380,2023-11-22,no
pedro,49,puno,logistica,8750,2017-12-26,no
javier,26,puno,legal,9200,2017-09-21,si
paola,20,ayacucho,marketing,1994,2015-07-05,si
andres,63,arequipa,ventas,4783,2023-08-12,si
ricardo,58,cajamarca,atencion_cliente,9116,2025-08-01,si
daniela,53,tacna,ventas,1474,2023-12-09,no
ana,50,ayacucho,soporte,4137,2016-02-17,si
jose,30,huancayo,legal,5335,2020-05-26,no
andres,41,tacna,logistica,5184,2018-05-22,si
gabriela,59,moquegua,ventas,2731,2021-07-13,no
lucia,58,piura,finanzas,2554,2022-07-21,no
valeria,24,chiclayo,ventas,4964,2018-12-19,no
pedro,20,cusco,recursos_humanos,1739,2017-06-01,si
valeria,27,moquegua,soporte,2460,2019-03-19,si
valeria,42,cajamarca,legal,6635,2021-12-05,si
paola,65,tumbes,ventas,2800,2021-04-27,si
diego,56,moquegua,atencion_cliente,7699,2020-01-21,no
elena,46,ica,tecnologia,7029,2023-07-14,si
rosa,55,cajamarca,soporte,2604,2024-05-26,si
alberto,22,cusco,recursos_humanos,3726,2021-12-26,si
claudia,42,tumbes,operaciones,2945,2016-01-10,no
monica,35,cusco,finanzas,2630,2017-07-15,no
juan,19,cusco,operaciones,2724,2024-10-26,no
patricia,42,piura,recursos_humanos,7979,2021-02-24,si
valeria,51,arequipa,soporte,3977,2017-05-10,no
luis,27,cusco,finanzas,8321,2019-07-10,no
elena,22,tumbes,recursos_humanos,5240,2025-08-20,si
miguel,24,arequipa,recursos_humanos,1310,2021-06-27,no
elena,39,ica,operaciones,8255,2025-10-05,no
diego,56,puno,tecnologia,9048,2020-03-13,no
sofia,65,puno,logistica,5171,2020-07-09,no
monica,25,huancayo,tecnologia,4147,2025-09-01,no
alberto,31,ica,recursos_humanos,2333,2021-11-16,si
gabriela,37,lima,recursos_humanos,3725,2021-07-03,no
ricardo,48,huancayo,soporte,9500,2021-09-02,no
alberto,52,huancayo,marketing,2991,2018-11-22,no
javier,59,huancayo,ventas,7747,2020-07-04,si
juan,34,lima,legal,4821,2022-06-13,no
victor,61,huancayo,legal,3669,2020-01-16,si
sofia,44,cusco,marketing,3521,2020-05-11,no
elena,31,chiclayo,logistica,6906,2022-02-15,no
diego,22,trujillo,ventas,3085,2015-06-21,si
rosa,28,puno,tecnologia,4058,2023-03-11,no
miguel,32,moquegua,soporte,4222,2017-11-22,no
carla,19,puno,atencion_cliente,4432,2022-10-14,no
ana,63,lima,tecnologia,5760,2016-10-04,si
monica,38,lima,logistica,3067,2019-11-28,no
paola,58,tumbes,atencion_cliente,7567,2024-07-19,si
monica,40,ayacucho,logistica,4026,2025-12-26,no
natalia,57,huancayo,marketing,3394,2020-02-08,no
juan,29,tumbes,finanzas,7564,2021-10-05,no
maria,29,ica,legal,4038,2023-03-16,no
fernanda,29,tumbes,logistica,2078,2020-01-16,si
carlos,42,chiclayo,legal,9309,2021-11-16,no
alberto,46,ica,finanzas,2554,2024-01-26,si
sofia,20,trujillo,tecnologia,5929,2017-08-19,no
daniela,50,cusco,atencion_cliente,3071,2019-09-27,no
daniela,20,moquegua,logistica,4780,2021-02-24,si
sofia,20,ica,recursos_humanos,6911,2016-08-28,si
victor,33,lima,atencion_cliente,6944,2024-11-14,si
ricardo,26,moquegua,tecnologia,4590,2015-10-12,no
ricardo,52,arequipa,operaciones,5994,2019-10-09,si
fernanda,44,piura,recursos_humanos,3278,2017-04-05,no
raul,33,moquegua,soporte,9219,2017-10-21,no
gabriela,44,tacna,logistica,2437,2025-02-13,no
alberto,41,ica,logistica,6562,2024-01-28,si
claudia,47,cajamarca,operaciones,2237,2023-07-07,no
raul,31,ica,recursos_humanos,6489,2019-06-18,si
valeria,49,moquegua,operaciones,1993,2015-02-21,no
ana,25,ayacucho,finanzas,8430,2022-01-14,si
alberto,26,cajamarca,recursos_humanos,3804,2019-02-21,no
pedro,23,tumbes,finanzas,2048,2021-11-10,si
maria,59,cusco,marketing,1217,2018-08-03,si
valeria,32,chiclayo,logistica,1352,2015-12-11,si
patricia,45,puno,finanzas,9026,2016-04-13,si
claudia,24,cusco,operaciones,7222,2019-03-13,si
gabriela,61,arequipa,marketing,1338,2024-11-06,no
monica,64,lima,finanzas,7945,2024-11-15,si
andres,24,arequipa,marketing,7491,2020-07-11,si
jose,35,cajamarca,marketing,5265,2023-10-20,no
victor,62,piura,recursos_humanos,4566,2023-10-17,si
claudia,43,trujillo,ventas,5121,2022-07-04,si
luis,58,huancayo,marketing,1397,2020-06-05,no
patricia,54,tacna,operaciones,4030,2022-02-01,si
ana,34,lima,ventas,2190,2021-09-10,no
maria,62,tacna,marketing,3701,2019-02-10,si
paola,31,moquegua,finanzas,6553,2021-10-21,si
sofia,62,tacna,tecnologia,2148,2018-02-14,si
miguel,57,huancayo,ventas,6267,2025-12-22,si
juan,18,puno,finanzas,1385,2017-08-12,no
javier,41,arequipa,recursos_humanos,3134,2015-06-26,no
pedro,51,cusco,recursos_humanos,2462,2022-08-17,no
lucia,49,ayacucho,atencion_cliente,3934,2020-03-09,si
hugo,54,cajamarca,marketing,4942,2023-01-02,si
jose,20,ica,operaciones,7474,2017-03-28,si
daniela,63,puno,soporte,4878,2020-04-14,no
pedro,22,huancayo,operaciones,3156,2023-11-02,si
jose,51,piura,soporte,2329,2022-05-25,no
diego,23,chiclayo,logistica,1330,2020-04-10,no
claudia,57,lima,logistica,7233,2024-08-25,si
claudia,52,moquegua,tecnologia,3666,2015-07-01,si
daniela,40,cajamarca,ventas,6688,2015-11-13,no
juan,31,chiclayo,tecnologia,8078,2022-01-05,no
andres,20,lima,legal,7967,2020-08-24,si
valeria,24,chiclayo,finanzas,7661,2016-10-19,si
maria,60,arequipa,tecnologia,5978,2019-06-26,no
alberto,65,tumbes,operaciones,8617,2019-04-03,si
fernanda,55,cusco,finanzas,2931,2017-08-15,no
maria,25,chiclayo,operaciones,4601,2022-05-15,no
patricia,25,cusco,finanzas,6184,2024-01-07,no
fernanda,23,puno,tecnologia,7028,2021-09-02,no
pedro,29,piura,soporte,8608,2023-12-18,si
juan,47,cusco,finanzas,3189,2015-01-27,si
fernanda,30,ayacucho,soporte,7298,2025-11-21,si
valeria,55,trujillo,marketing,1557,2016-04-21,no
elena,26,cusco,operaciones,3207,2015-08-02,si
natalia,54,tacna,soporte,9328,2015-07-22,no
javier,40,lima,finanzas,5705,2019-08-05,si
ricardo,57,huancayo,tecnologia,6035,2022-07-18,no
lucia,23,trujillo,soporte,3448,2021-04-21,si
gabriela,52,moquegua,ventas,7466,2020-08-18,no
monica,54,chiclayo,operaciones,7563,2019-03-01,no
ricardo,32,piura,recursos_humanos,2159,2022-09-12,si
javier,24,lima,tecnologia,5566,2023-12-02,si
valeria,42,tumbes,finanzas,4085,2018-10-11,no
natalia,55,piura,operaciones,3528,2024-04-27,no
daniela,37,arequipa,logistica,1821,2016-01-08,si
ana,51,ica,ventas,6635,2024-04-26,si
diego,63,arequipa,operaciones,2175,2015-03-19,si
victor,25,ayacucho,legal,7178,2016-06-23,no
valeria,24,tumbes,recursos_humanos,6485,2017-03-24,no
elena,58,ica,operaciones,4054,2023-12-20,no
jose,60,huancayo,finanzas,7399,2019-12-23,no
fernanda,29,puno,ventas,7615,2024-01-06,no
natalia,57,lima,atencion_cliente,2905,2022-03-11,si
jose,40,tumbes,finanzas,2653,2025-11-24,no
miguel,18,trujillo,tecnologia,5288,2016-06-09,si
claudia,18,piura,soporte,8379,2021-03-14,no
hugo,42,tumbes,legal,7349,2016-08-26,si
javier,46,cusco,ventas,6031,2015-06-09,si
andres,39,arequipa,soporte,3836,2016-09-03,no
ricardo,57,ica,ventas,8266,2025-03-20,no
javier,21,cusco,operaciones,4567,2018-07-23,no
rosa,36,trujillo,tecnologia,2771,2015-07-19,no
fernanda,21,tumbes,ventas,8205,2016-05-27,no
carlos,24,piura,tecnologia,3998,2025-05-03,no
patricia,25,trujillo,soporte,8915,2022-11-09,si
gabriela,52,tacna,finanzas,7278,2021-06-06,no
lucia,34,ica,logistica,5515,2018-05-19,si
fernanda,62,cajamarca,marketing,2604,2025-06-26,no
victor,55,lima,legal,2199,2021-09-14,no
valeria,33,ica,recursos_humanos,2493,2021-12-02,si
juan,46,arequipa,finanzas,4671,2018-03-02,no
andres,61,tacna,tecnologia,3622,2024-05-11,si
andres,42,chiclayo,soporte,6543,2019-09-15,si
elena,62,huancayo,atencion_cliente,8074,2016-07-05,si
valeria,55,huancayo,marketing,2930,2024-02-26,no
patricia,52,tumbes,soporte,5527,2021-11-16,no
lucia,29,trujillo,soporte,3556,2024-10-22,no
lucia,43,tumbes,tecnologia,2007,2022-05-12,si
diego,37,trujillo,recursos_humanos,9254,2025-02-28,si
fernanda,37,puno,logistica,6457,2019-12-14,si
carlos,46,lima,soporte,9137,2023-06-27,si
paola,28,cusco,recursos_humanos,7809,2017-09-19,si
javier,30,ayacucho,tecnologia,2144,2018-01-15,si
natalia,41,puno,tecnologia,5688,2020-08-17,no
gabriela,25,cajamarca,ventas,5163,2020-08-20,no
javier,48,huancayo,legal,6930,2020-03-27,no
claudia,62,cusco,recursos_humanos,1649,2021-01-06,si
patricia,32,cajamarca,tecnologia,4587,2019-11-14,si
patricia,61,piura,logistica,3367,2025-03-20,si
jose,34,huancayo,recursos_humanos,5711,2021-07-28,no
miguel,34,lima,logistica,6150,2025-09-27,no
valeria,24,piura,legal,7331,2023-11-20,no
sofia,61,cusco,logistica,2245,2020-05-21,no
patricia,35,trujillo,recursos_humanos,4286,2017-09-25,si
hugo,21,moquegua,atencion_cliente,7820,2025-06-22,si
claudia,19,cajamarca,logistica,6043,2019-07-13,no
claudia,20,huancayo,atencion_cliente,4311,2020-12-23,si
rosa,52,cajamarca,logistica,7073,2023-05-28,si
raul,60,chiclayo,finanzas,6013,2016-08-05,no
claudia,53,moquegua,finanzas,6699,2025-02-08,no
jose,65,ayacucho,recursos_humanos,8089,2020-06-09,no
miguel,25,ica,ventas,2366,2022-04-17,si
patricia,61,tacna,legal,6088,2021-01-28,si
